9,Kyle O'Quinn\oquinky01,PF,6-10,250,March 26 1990,us,4,Norfolk State University
8,Justin Holiday\holidju01,SG,6-6,185,April 5 1989,us,3,University of Washington
91,Mindaugas Kuzminskas\kuzmimi01,SF,6-9,215,October 19 1989,lt,R,
40,Marshall Plumlee\plumlma02,C,7-0,250,July 14 1992,us,R,Duke University
13,Joakim Noah\noahjo01,C,6-11,230,February 25 1985,us,9,University of Florida
5,Courtney Lee\leeco01,SG,6-5,200,October 3 1985,us,8,Western Kentucky University
42,Lance Thomas\thomala01,PF,6-8,235,April 24 1988,us,5,Duke University
3,Brandon Jennings\jennibr01,PG,6-1,170,September 23 1989,us,7,
18,Sasha Vujacic\vujacsa01,SG,6-7,195,March 8 1984,si,9,
2,Maurice Ndour\ndourma01,PF,6-9,200,June 18 1992,sn,R,Ohio University
14,Willy Hernangomez\hernawi01,C,6-11,240,May 27 1994,es,R,
31,Ron Baker\bakerro01,SG,6-4,220,March 30 1993,us,R,Wichita State University

44,Bojan Bogdanovic\bogdabo02,SF,6-8,216,April 18 1989,ba,2,
24,Rondae Hollis-Jefferson\holliro01,SF,6-7,220,January 3 1995,us,1,University of Arizona
1,Chris McCullough\mcculch01,PF,6-11,200,February 5 1995,us,1,Syracuse University
11,Brook Lopez\lopezbr01,C,7-0,275,April 1 1988,us,8,Stanford University
6,Sean Kilpatrick\kilpase01,SG,6-4,210,January 6 1990,us,2,University of Cincinnati
7,Jeremy Lin\linje01,PG,6-3,200,August 23 1988,us,6,Harvard University
35,Trevor Booker\booketr01,PF,6-8,228,November 25 1987,us,6,Clemson University
15,Isaiah Whitehead\whiteis01,PG,6-4,213,March 8 1995,us,R,Seton Hall University
4,Luis Scola\scolalu01,PF,6-9,240,April 30 1980,ar,9,
41,Justin Hamilton\hamilju01,C,7-0,260,April 1 1990,us,2,Louisiana State University
2,Randy Foye\foyera01,SG,6-4,213,September 24 1983,us,10,Villanova University
22,Caris LeVert\leverca01,G,6-7,203,August 25 1994,us,R,University of Michigan
13,Anthony Bennett\bennean01,PF,6-8,245,March 14 1993,ca,3,University of Nevada Las Vegas
12,Joe Harris\harrijo01,SG,6-6,219,September 7 1991,us,2,University of Virginia
